locality,geometry,p1,p2,p3,p4,p5,pall
Praha,POINT (14.41 50.09),0.0,9.0,31.0,30.0,11.0,44.0
Wien,POINT (16.388 48.221),8.0,17.0,13.0,22.0,0.0,34.0
Brno,POINT (16.61 49.19),0.0,5.0,6.0,16.0,5.0,25.0
Znojmo,POINT (16.05 48.86),0.0,1.0,12.0,13.0,0.0,23.0
Písek,POINT (14.148 49.309),0.0,4.0,9.0,6.0,0.0,17.0
Graz,POINT (15.45 47.067),0.0,0.0,7.0,7.0,0.0,11.0
Linz,POINT (14.286 48.306),3.0,4.0,4.0,0.0,0.0,8.0
Velehrad,POINT (17.395 49.105),0.0,0.0,8.0,0.0,0.0,8.0
Korneuburg,POINT (16.33 48.34),8.0,0.0,0.0,0.0,0.0,8.0
Křivoklát,POINT (13.872 50.038),0.0,4.0,3.0,2.0,0.0,7.0
Krems an der Donau,POINT (15.62 48.41),6.0,5.0,0.0,2.0,0.0,7.0
Kamýk nad Vltavou,POINT (14.253 49.639),0.0,0.0,0.0,7.0,0.0,7.0
Poděbrady,POINT (15.119 50.142),0.0,0.0,4.0,3.0,0.0,7.0
Wiener Neustadt,POINT (16.24 47.81),1.0,2.0,4.0,0.0,0.0,6.0
Jihlava,POINT (15.591 49.396),0.0,0.0,5.0,1.0,0.0,6.0
Olomouc,POINT (17.252 49.596),0.0,2.0,5.0,0.0,1.0,6.0
Laa an der Thaya,POINT (16.384 48.728),0.0,2.0,2.0,2.0,0.0,6.0
Hainburg,POINT (16.946 48.146),5.0,0.0,0.0,0.0,0.0,5.0
Freistadt,POINT (14.517 48.517),0.0,0.0,0.0,5.0,0.0,5.0
Plasy,POINT (13.39 49.934),0.0,5.0,3.0,0.0,0.0,5.0
Litoměřice,POINT (14.132 50.533),0.0,0.0,2.0,0.0,2.0,4.0
Zbraslav,POINT (14.394 49.976),0.0,0.0,0.0,4.0,0.0,4.0
Sadská,POINT (14.985 50.134),0.0,1.0,0.0,2.0,0.0,3.0
Vyškov,POINT (17 49.28),0.0,0.0,3.0,0.0,0.0,3.0
Kladruby,POINT (12.995 49.712),0.0,3.0,0.0,0.0,0.0,3.0
Zvíkov,POINT (14.192 49.439),0.0,1.0,0.0,2.0,0.0,3.0
Jaroměřice nad Rokytkou,POINT (15.893 49.094),0.0,0.0,3.0,0.0,0.0,3.0
Myšenec,POINT (14.208 49.223),0.0,0.0,0.0,3.0,0.0,3.0
Hradec Králové,POINT (15.833 50.209),0.0,0.0,3.0,0.0,0.0,3.0
Sitzenberg,POINT (15.809 48.321),0.0,2.0,0.0,0.0,0.0,2.0
Traiskirchen,POINT (16.295 48.014),0.0,0.0,2.0,0.0,0.0,2.0
Uherské Hradiště,POINT (17.46 49.07),0.0,2.0,0.0,0.0,0.0,2.0
Wels,POINT (14.027 48.158),0.0,2.0,0.0,0.0,0.0,2.0
Beroun,POINT (14.073 49.964),0.0,0.0,2.0,0.0,0.0,2.0
Veveří,POINT (16.462 49.257),0.0,0.0,0.0,2.0,0.0,2.0
Opava,POINT (17.903 49.939),0.0,2.0,0.0,0.0,0.0,2.0
Stična,POINT (14.806 45.957),0.0,0.0,0.0,2.0,0.0,2.0
Žatec,POINT (13.54 50.33),0.0,0.0,2.0,0.0,0.0,2.0
Villach,POINT (13.856 46.61),0.0,0.0,0.0,2.0,0.0,2.0
Judenburg,POINT (14.667 47.167),0.0,0.0,0.0,2.0,0.0,2.0
Eggenburg,POINT (15.819 48.639),0.0,0.0,2.0,0.0,0.0,2.0
Głubczyce,POINT (17.829 50.201),0.0,0.0,2.0,0.0,0.0,2.0
Havlíčkův Brod,POINT (15.579 49.607),0.0,0.0,2.0,0.0,0.0,2.0
Jablonné v Podještědí,POINT (14.76 50.765),0.0,2.0,0.0,0.0,0.0,2.0
Kleinweikersdorf,POINT (16.198 48.631),0.0,2.0,0.0,0.0,0.0,2.0
Budyně nad Ohří,POINT (14.126 50.404),0.0,0.0,2.0,0.0,0.0,2.0
Bratislava,POINT (17.103 48.142),0.0,0.0,2.0,0.0,0.0,2.0
Uherský Ostroh,POINT (17.39 48.986),0.0,0.0,0.0,1.0,0.0,1.0
Dobříš,POINT (14.175 49.783),0.0,1.0,0.0,0.0,0.0,1.0
Přištpo,POINT (15.935 49.074),0.0,0.0,0.0,1.0,0.0,1.0
Domažlice,POINT (12.93 49.44),0.0,0.0,1.0,0.0,0.0,1.0
Stříbro,POINT (13.003 49.752),0.0,0.0,1.0,0.0,0.0,1.0
Slovenj Gradec,POINT (15.079 46.516),0.0,0.0,0.0,1.0,0.0,1.0
Cheb,POINT (12.38 50.071),0.0,0.0,1.0,0.0,0.0,1.0
Seitenstetten,POINT (14.655 48.036),0.0,1.0,0.0,0.0,0.0,1.0
České Budějovice,POINT (14.474 48.974),0.0,0.0,1.0,0.0,0.0,1.0
Lilienfeld,POINT (15.598 48.014),0.0,1.0,0.0,0.0,0.0,1.0
Friesach,POINT (14.326 46.984),0.0,0.0,0.0,1.0,0.0,1.0
Gaming,POINT (15.088 47.929),0.0,1.0,0.0,0.0,0.0,1.0
Vracov,POINT (17.209 48.977),0.0,0.0,1.0,0.0,0.0,1.0
Zwettl,POINT (15.169 48.607),0.0,1.0,0.0,1.0,0.0,1.0
Herzogenbirbaum,POINT (16.251 48.519),0.0,0.0,1.0,0.0,0.0,1.0
Hradec nad Moravicí,POINT (17.875 49.871),0.0,0.0,0.0,0.0,1.0,1.0
Neuburg am Inn,POINT (13.405 48.518),0.0,0.0,0.0,1.0,0.0,1.0
Most,POINT (13.636 50.503),0.0,0.0,1.0,0.0,0.0,1.0
Milevsko,POINT (14.361 49.45),0.0,0.0,0.0,1.0,0.0,1.0
Kostanjevica na Krki,POINT (15.42 45.846),0.0,0.0,0.0,1.0,0.0,1.0
Kravaře u České Lípy,POINT (14.392 50.632),0.0,0.0,1.0,0.0,0.0,1.0
Ljubljana,POINT (14.507 46.05),0.0,0.0,0.0,1.0,0.0,1.0
Čáslav,POINT (15.389 49.91),0.0,0.0,0.0,0.0,0.0,0.0
Völkermarkt,POINT (14.633 46.662),0.0,0.0,0.0,0.0,0.0,0.0
Arnoldstein,POINT (13.75 46.55),0.0,0.0,0.0,0.0,0.0,0.0
Uničov,POINT (17.121 49.771),0.0,0.0,0.0,0.0,0.0,0.0
Pottendorf,POINT (16.388 47.91),0.0,0.0,0.0,0.0,0.0,0.0
Nižbor,POINT (14.003 50.002),0.0,0.0,0.0,0.0,0.0,0.0
Maribor,POINT (15.648 46.554),0.0,0.0,0.0,0.0,0.0,0.0
Marchegg,POINT (16.891 48.257),0.0,0.0,0.0,0.0,0.0,0.0
Loket,POINT (12.754 50.187),0.0,0.0,0.0,0.0,0.0,0.0
Jindřichův Hradec,POINT (15.003 49.144),0.0,0.0,0.0,0.0,0.0,0.0
Hartberg,POINT (15.97 47.281),0.0,0.0,0.0,0.0,0.0,0.0
Groißenbrunn,POINT (16.902 48.223),0.0,0.0,0.0,0.0,0.0,0.0
Enns,POINT (14.479 48.214),0.0,0.0,0.0,0.0,0.0,0.0
Drosendorf,POINT (15.622 48.866),0.0,0.0,0.0,0.0,0.0,0.0
Mailberg,POINT (16.183 48.673),0.0,0.0,0.0,0.0,0.0,0.0
